"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
101,"44109","NANTES","all","all",1124,284959,3.9444270930204,"Fédération Française d'athlétisme",1
101,"44109","NANTES","20_29","f",47,31181,1.50732818062282,"Fédération Française d'athlétisme",2
101,"44109","NANTES","5_9","h",42,7228,5.81073602656336,"Fédération Française d'athlétisme",3
101,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française d'athlétisme",4
101,"44109","NANTES","15_19","f",68,11317,6.00865953874702,"Fédération Française d'athlétisme",5
101,"44109","NANTES","all","h",645,134799,4.78490196514811,"Fédération Française d'athlétisme",6
101,"44109","NANTES","10_14","f",104,6837,15.2113500073131,"Fédération Française d'athlétisme",7
101,"44109","NANTES","5_9","f",28,7196,3.89105058365759,"Fédération Française d'athlétisme",8
101,"44109","NANTES","75_99","f",0,15255,0,"Fédération Française d'athlétisme",9
101,"44109","NANTES","60_74","f",36,16920,2.12765957446809,"Fédération Française d'athlétisme",10
101,"44109","NANTES","20_29","h",81,30378,2.6664033181908,"Fédération Française d'athlétisme",11
101,"44109","NANTES","45_59","f",91,25920,3.5108024691358,"Fédération Française d'athlétisme",12
101,"44109","NANTES","all","f",479,150160,3.18993074054342,"Fédération Française d'athlétisme",13
101,"44109","NANTES","30_44","f",103,27534,3.74082951986635,"Fédération Française d'athlétisme",14
101,"44109","NANTES","30_44","all",226,56868,3.97411549553352,"Fédération Française d'athlétisme",15
101,"44109","NANTES","75_99","h",2,7393,0.270526173407277,"Fédération Française d'athlétisme",16
101,"44109","NANTES","60_74","all",74,29235,2.53121258765179,"Fédération Française d'athlétisme",17
101,"44109","NANTES","45_59","all",220,48534,4.53290476779165,"Fédération Française d'athlétisme",18
101,"44109","NANTES","20_29","all",129,61559,2.09555060998392,"Fédération Française d'athlétisme",19
101,"44109","NANTES","60_74","h",38,12316,3.08541734329328,"Fédération Française d'athlétisme",20
101,"44109","NANTES","45_59","h",129,22614,5.70443088352348,"Fédération Française d'athlétisme",21
101,"44109","NANTES","30_44","h",123,29334,4.19308652076089,"Fédération Française d'athlétisme",22
101,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française d'athlétisme",23
101,"44109","NANTES","10_14","h",144,6932,20.7732256203116,"Fédération Française d'athlétisme",24
101,"44109","NANTES","5_9","all",70,14424,4.85302273987798,"Fédération Française d'athlétisme",25
101,"44109","NANTES","10_14","all",248,13768,18.0127832655433,"Fédération Française d'athlétisme",26
101,"44109","NANTES","75_99","all",2,22648,0.0883080183680678,"Fédération Française d'athlétisme",27
101,"44109","NANTES","15_19","all",155,21451,7.22577036035616,"Fédération Française d'athlétisme",28
101,"44109","NANTES","15_19","h",86,10134,8.48628379711861,"Fédération Française d'athlétisme",29
101,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française d'athlétisme",30
102,"44109","NANTES","45_59","f",56,25920,2.16049382716049,"Fédération Française des sociétés d'aviron",31
102,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française des sociétés d'aviron",32
102,"44109","NANTES","20_29","f",141,31181,4.52198454186845,"Fédération Française des sociétés d'aviron",33
102,"44109","NANTES","75_99","h",5,7393,0.676315433518193,"Fédération Française des sociétés d'aviron",34
102,"44109","NANTES","5_9","f",0,7196,0,"Fédération Française des sociétés d'aviron",35
102,"44109","NANTES","60_74","f",6,16920,0.354609929078014,"Fédération Française des sociétés d'aviron",36
102,"44109","NANTES","all","h",795,134799,5.89766986401976,"Fédération Française des sociétés d'aviron",37
102,"44109","NANTES","60_74","h",43,12316,3.49139330951608,"Fédération Française des sociétés d'aviron",38
102,"44109","NANTES","5_9","all",0,14424,0,"Fédération Française des sociétés d'aviron",39
102,"44109","NANTES","15_19","f",44,11317,3.88795617213042,"Fédération Française des sociétés d'aviron",40
102,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française des sociétés d'aviron",41
102,"44109","NANTES","10_14","h",95,6932,13.7045585689556,"Fédération Française des sociétés d'aviron",42
102,"44109","NANTES","15_19","h",155,10134,15.2950463785277,"Fédération Française des sociétés d'aviron",43
102,"44109","NANTES","5_9","h",0,7228,0,"Fédération Française des sociétés d'aviron",44
102,"44109","NANTES","30_44","h",131,29334,4.46580759528193,"Fédération Française des sociétés d'aviron",45
102,"44109","NANTES","20_29","all",385,61559,6.25416267320782,"Fédération Française des sociétés d'aviron",46
102,"44109","NANTES","45_59","all",177,48534,3.64692792681419,"Fédération Française des sociétés d'aviron",47
102,"44109","NANTES","10_14","f",38,6837,5.55799327190288,"Fédération Française des sociétés d'aviron",48
102,"44109","NANTES","10_14","all",133,13768,9.66008134805346,"Fédération Française des sociétés d'aviron",49
102,"44109","NANTES","75_99","f",0,15255,0,"Fédération Française des sociétés d'aviron",50
102,"44109","NANTES","30_44","f",82,27534,2.97813612261204,"Fédération Française des sociétés d'aviron",51
102,"44109","NANTES","20_29","h",245,30378,8.06504707354006,"Fédération Française des sociétés d'aviron",52
102,"44109","NANTES","60_74","all",49,29235,1.67607319993159,"Fédération Française des sociétés d'aviron",53
102,"44109","NANTES","all","all",1162,284959,4.07777961040009,"Fédération Française des sociétés d'aviron",54
102,"44109","NANTES","15_19","all",200,21451,9.32357465852408,"Fédération Française des sociétés d'aviron",55
102,"44109","NANTES","75_99","all",5,22648,0.22077004592017,"Fédération Française des sociétés d'aviron",56
102,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française des sociétés d'aviron",57
102,"44109","NANTES","30_44","all",214,56868,3.76310051346979,"Fédération Française des sociétés d'aviron",58
102,"44109","NANTES","all","f",367,150160,2.44405966968567,"Fédération Française des sociétés d'aviron",59
102,"44109","NANTES","45_59","h",120,22614,5.30644733351021,"Fédération Française des sociétés d'aviron",60
103,"44109","NANTES","5_9","h",8,7228,1.10680686220255,"Fédération Française de badminton",61
103,"44109","NANTES","75_99","h",0,7393,0,"Fédération Française de badminton",62
103,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française de badminton",63
103,"44109","NANTES","20_29","f",177,31181,5.67653378660081,"Fédération Française de badminton",64
103,"44109","NANTES","20_29","all",386,61559,6.27040725157979,"Fédération Française de badminton",65
103,"44109","NANTES","10_14","f",46,6837,6.72809711861928,"Fédération Française de badminton",66
103,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française de badminton",67
103,"44109","NANTES","all","h",772,134799,5.72704545285944,"Fédération Française de badminton",68
103,"44109","NANTES","60_74","f",1,16920,0.0591016548463357,"Fédération Française de badminton",69
103,"44109","NANTES","20_29","h",209,30378,6.87997893212193,"Fédération Française de badminton",70
